id;name;lat;lon
490002300;Wien Allerheiligengasse;48.238786;16.386382
490027700;Wien Embelgasse;48.182694;16.352268
490147400;Wien Wielandplatz;48.177417;16.380422
490029600;Wien Evangelischer Friedhof;48.179853;16.360242
490030700;Wien Sonnleithnergasse;48.178981;16.36301
490045600;Wien Neulerchenfelder Straße/Haberlgasse;48.211702;16.331153
490037900;Wien Gaudenzdorfer Gürtel;48.187242;16.343099
490192100;Wien Johann-Nepomuk-Vogl-Platz;48.223954;16.336582
490022900;Wien Dietmayrgasse;48.239209;16.368557
490130600;Wien Staglgasse;48.194173;16.335207
490045800;Wien Beingasse;48.199405;16.332276
490027600;Wien Elterleinplatz;48.218174;16.331054
490004700;Wien Reichsbrücke;48.229833;16.412415
490177000;Wien Franzosengraben;48.18771;16.413826
490135000;Wien Hauptbahnhof Autoreisezug;48.177444;16.391839
490150900;Wien Währinger Park;48.233123;16.347234
490078300;Wien Thaliastraße/Haberlgasse;48.209877;16.330002
490188000;Wien Margaretenstraße;48.185561;16.344879
490043600;Wien Gumpendorfer Straße;48.19073;16.337562
490007700;Wien Arbeitergasse/Gürtel;48.18406;16.345958
490043800;Wien Guneschgasse;48.23653;16.353554
490105800;Wien Quellenplatz;48.175619;16.373492
490189500;Wien Marathonweg;48.208691;16.426825
490151100;Wien Adalbert-Stifter-Straße/Jägerstraße;48.240872;16.371478
490026700;Wien Eichenstraße;48.180428;16.349841
490097700;Wien Frauengasse;48.213769;16.32904
490250000;Wien Leebgasse/Siccardsburggasse;48.175961;16.370103
490172500;Wien Sechshauser Gürtel;48.188537;16.338731
490170500;Wien Handelskai;48.241798;16.385223
490109500;Wien Reumannplatz;48.174154;16.378193
490191000;Wien Absberggasse;48.175961;16.390607
490142600;Wien Vinzenzgasse;48.224997;16.334416
490088500;Wien Molitorgasse;48.181813;16.408064
490091400;Wien Neilreichgasse;48.17615;16.36559
490014900;Wien Blumengasse;48.221491;16.331728
490025400;Wien Döblinger Steg;48.240773;16.365402
490106000;Wien Knöllgasse;48.177399;16.358102
490038400;Wien Gellertplatz;48.175008;16.382643
490010100;Wien Aumannplatz;48.228161;16.336564
490159800;Wien Bernhardtstalgasse;48.17641;16.361824
490173100;Wien Donau-City Nord;48.23538;16.408163
490088100;Wien Modecenterstraße;48.188366;16.418681
490166600;Wien Lorenz-Müller-Gasse;48.242157;16.373815
490047400;Wien Hardtgasse;48.237061;16.349041
490091900;Wien Donaumarina U, Chrastekgasse;48.207765;16.428551
490019700;Wien Camillo-Sitte-Gasse;48.205005;16.327305
490120000;Wien Schweglerstraße;48.197886;16.328402
490013500;Wien Döblinger Hauptstraße/Gatterburggasse;48.238912;16.354605
490178400;Wien Döblerhofstraße;48.185435;16.415157
490043500;Wien Gräßlplatz;48.176842;16.397358
490056300;Wien Hüttenbrennergasse;48.176087;16.394805
490186800;Wien Steinhagegasse;48.184878;16.340636
490060200;Wien Johann-Nepomuk-Berger-Platz;48.213104;16.325462
490106800;Wien Rampengasse;48.240962;16.360601
490005200;Wien Fünfhausgasse;48.189085;16.33544
490044000;Wien Guntherstraße;48.202371;16.326766
490117900;Wien Schmelzbrücke;48.195899;16.329687
490070600;Wien Korbergasse;48.185984;16.338722
490120500;Wien Schüttaustraße;48.23084;16.417179
490047500;Wien Harrachgasse;48.22221;16.425324
490041100;Wien Goethehof;48.229492;16.41904
490064100;Wien Kaisermühlen-VIC;48.232341;16.415498
490146900;Wien Wolfganggasse/Steinbauergasse;48.182838;16.342398
490137400;Wien Feßtgasse;48.210596;16.325193
490120900;Wien Schödlbergergasse;48.228062;16.420865
490071200;Wien Mariahilfer Straße/Geibelgasse;48.191719;16.33171
490021500;Wien Cottagegasse;48.23386;16.341823
490174900;Wien Gasometer;48.185525;16.417764
490111500;Wien Rosensteingasse;48.2191;16.32717
490036300;Wien Friedrich-Engels-Platz;48.24427;16.37973
